gFx,gFy,gFz
0.002,-0.214,-1.075
0.026,-0.211,-1.099
0.048,-0.217,-1.086
0.067,-0.223,-1.064
0.082,-0.231,-1.057
0.102,-0.253,-1.073
0.108,-0.267,-1.107
0.093,-0.251,-1.143
0.079,-0.222,-1.16
0.068,-0.208,-1.163
0.058,-0.197,-1.159
0.053,-0.175,-1.157
0.068,-0.151,-1.185
0.097,-0.125,-1.241
0.127,-0.091,-1.299
0.15,-0.069,-1.336
0.153,-0.063,-1.346
0.156,-0.06,-1.312
0.145,-0.071,-1.242
0.116,-0.084,-1.154
0.124,-0.111,-1.068
0.144,-0.133,-0.99
0.16,-0.14,-0.947
0.16,-0.126,-0.937
0.156,-0.091,-0.949
0.163,-0.063,-0.977
0.16,-0.045,-1.01
0.139,-0.036,-1.033
0.111,-0.034,-1.041
0.072,-0.035,-1.037
0.032,-0.038,-1.02
0.007,-0.043,-0.988
0.003,-0.055,-0.956
0.021,-0.076,-0.937
0.04,-0.076,-0.919
0.058,-0.068,-0.886
0.071,-0.059,-0.845
0.078,-0.052,-0.806
0.078,-0.05,-0.765
0.069,-0.056,-0.73
0.064,-0.075,-0.715
0.054,-0.103,-0.718
0.047,-0.13,-0.727
0.038,-0.147,-0.731
0.029,-0.151,-0.727
0.025,-0.158,-0.729
0.018,-0.171,-0.726
0.015,-0.179,-0.73
0.019,-0.179,-0.75
0.001,-0.17,-0.79
-0.037,-0.16,-0.847
-0.064,-0.156,-0.913
-0.063,-0.145,-0.99
-0.05,-0.117,-1.074
-0.034,-0.077,-1.166
-0.022,-0.034,-1.244
-0.022,-0.007,-1.289
-0.008,-0.002,-1.303
0.036,-0.035,-1.285
0.058,-0.072,-1.23
0.048,-0.096,-1.157
0.045,-0.132,-1.096
0.033,-0.171,-1.055
0.013,-0.197,-1.039
0.006,-0.212,-1.066
0.002,-0.197,-1.123
0.01,-0.142,-1.187
0.023,-0.102,-1.234
0.023,-0.079,-1.251
0.017,-0.074,-1.232
0.006,-0.094,-1.193
-0.02,-0.126,-1.137
-0.064,-0.162,-1.058
-0.094,-0.196,-0.98
-0.1,-0.235,-0.934
-0.091,-0.263,-0.938
-0.088,-0.252,-0.969
-0.074,-0.217,-1.002
-0.047,-0.178,-1.023
-0.027,-0.151,-1.017
-0.017,-0.136,-0.994
-0.004,-0.131,-0.961
0.007,-0.135,-0.916
0.005,-0.134,-0.857
