time,gFx,gFy,gFz,gFTotal
0.000,-0.053,0.099,-1.105,1.111
0.010,0.016,0.123,-1.034,1.041
0.020,0.102,0.098,-0.981,0.991
0.030,0.176,0.095,-0.935,0.956
0.040,0.186,0.089,-0.892,0.916
0.050,0.178,0.021,-0.829,0.848
0.060,0.164,-0.029,-0.784,0.801
0.070,0.141,-0.047,-0.743,0.758
0.080,0.124,-0.042,-0.689,0.701
0.090,0.127,-0.038,-0.638,0.652
0.100,0.136,-0.037,-0.585,0.602
0.110,0.149,-0.041,-0.578,0.598
0.120,0.172,-0.058,-0.588,0.615
0.130,0.188,-0.075,-0.596,0.629
0.140,0.190,-0.086,-0.605,0.640
0.150,0.190,-0.084,-0.612,0.646
0.160,0.193,-0.074,-0.610,0.644
0.170,0.180,-0.054,-0.569,0.599
0.180,0.137,-0.042,-0.491,0.512
0.190,0.104,-0.050,-0.430,0.445
0.200,0.080,-0.064,-0.418,0.431
0.210,0.069,-0.055,-0.375,0.385
0.220,0.064,-0.049,-0.320,0.330
0.230,0.063,-0.057,-0.259,0.273
0.240,0.069,-0.117,-0.131,0.189
0.250,0.048,-0.206,-0.003,0.212
0.260,0.012,-0.163,-0.031,0.166
0.270,-0.010,-0.118,-0.107,0.160
0.280,-0.025,-0.115,-0.206,0.237
0.290,-0.016,-0.150,-0.357,0.388
0.300,0.025,-0.217,-0.533,0.576
0.310,0.085,-0.308,-0.752,0.817
0.320,0.105,-0.376,-1.098,1.166
0.329,0.084,-0.399,-1.404,1.462
0.339,0.106,-0.427,-1.592,1.652
0.349,0.175,-0.411,-1.646,1.705
0.359,0.246,-0.285,-1.616,1.659
0.369,0.212,-0.056,-1.590,1.606
0.379,0.181,0.061,-1.657,1.668
0.389,0.171,0.033,-1.776,1.785
0.399,0.180,-0.011,-1.966,1.974
0.409,0.210,-0.038,-2.164,2.175
0.415,0.290,-0.038,-2.287,2.306
0.425,0.381,-0.044,-2.348,2.379
0.434,0.410,-0.084,-2.474,2.509
0.444,0.351,-0.127,-2.546,2.573
0.454,0.145,-0.121,-2.456,2.463
0.464,-0.010,-0.075,-2.233,2.235
0.479,-0.040,-0.053,-1.916,1.917
0.489,0.041,-0.095,-1.583,1.587
0.499,0.118,-0.132,-1.275,1.287
0.509,0.160,-0.150,-1.070,1.092
0.519,0.217,-0.136,-0.946,0.980
0.529,0.251,-0.094,-0.903,0.942
0.539,0.211,-0.052,-0.899,0.925
0.549,0.186,-0.053,-0.877,0.898
0.559,0.177,-0.062,-0.817,0.839
0.569,0.155,-0.050,-0.726,0.744
0.579,0.137,-0.028,-0.622,0.637
0.589,0.127,-0.021,-0.533,0.548
0.599,0.105,-0.015,-0.441,0.453
0.609,0.077,-0.008,-0.378,0.386
0.619,0.059,-0.004,-0.338,0.343
0.629,0.038,0.003,-0.301,0.303
0.639,0.025,0.015,-0.292,0.293
0.649,0.032,0.025,-0.306,0.309
0.659,0.053,0.031,-0.358,0.363
0.669,0.074,0.035,-0.419,0.427
0.679,0.093,0.034,-0.445,0.456
0.689,0.090,0.018,-0.440,0.449
0.699,0.072,-0.010,-0.403,0.409
0.709,0.067,-0.070,-0.374,0.386
0.719,0.055,-0.104,-0.360,0.378
0.728,0.033,-0.067,-0.330,0.338
0.739,0.052,-0.042,-0.298,0.306
0.749,0.075,-0.048,-0.247,0.263
0.759,0.120,-0.081,-0.200,0.247
0.769,0.135,-0.114,-0.181,0.253
0.779,0.122,-0.130,-0.206,0.272
0.789,0.104,-0.148,-0.301,0.351
0.799,0.038,-0.174,-0.455,0.488
0.809,-0.059,-0.175,-0.593,0.621
0.819,-0.147,-0.149,-0.701,0.731
0.828,-0.211,-0.134,-0.802,0.840
0.838,-0.233,-0.160,-0.928,0.970
0.848,-0.227,-0.183,-1.095,1.133
0.859,-0.184,-0.168,-1.245,1.270
0.868,-0.120,-0.154,-1.352,1.366
0.878,-0.093,-0.161,-1.435,1.447
0.888,-0.125,-0.157,-1.469,1.482
0.898,-0.175,-0.143,-1.493,1.510
0.908,-0.219,-0.144,-1.576,1.597
0.918,-0.221,-0.168,-1.750,1.772
0.928,-0.169,-0.180,-1.907,1.923
0.938,-0.134,-0.155,-1.951,1.962
0.943,-0.138,-0.080,-1.940,1.947
0.953,-0.256,0.110,-1.980,1.999
0.963,-0.317,0.244,-2.128,2.166
0.973,-0.303,0.313,-2.305,2.346
0.983,-0.299,0.397,-2.369,2.420
0.993,-0.321,0.478,-2.319,2.390
1.003,-0.346,0.522,-2.217,2.304
1.013,-0.341,0.525,-2.070,2.162
1.023,-0.333,0.501,-1.882,1.976
1.033,-0.317,0.451,-1.641,1.731
1.043,-0.287,0.363,-1.352,1.429
1.053,-0.299,0.298,-1.114,1.191
1.063,-0.297,0.215,-0.956,1.024
1.073,-0.270,0.139,-0.870,0.921
1.083,-0.240,0.120,-0.807,0.850
1.093,-0.208,0.112,-0.760,0.796
1.103,-0.168,0.100,-0.738,0.764
1.113,-0.116,0.094,-0.727,0.742
1.123,-0.058,0.074,-0.697,0.703
1.133,-0.017,0.043,-0.645,0.647
1.143,0.009,0.007,-0.588,0.588
1.153,0.031,-0.022,-0.529,0.530
1.163,0.053,-0.045,-0.476,0.481
1.173,0.076,-0.067,-0.436,0.447
1.183,0.095,-0.084,-0.404,0.423
1.193,0.110,-0.093,-0.379,0.405
1.203,0.120,-0.095,-0.362,0.394
1.213,0.120,-0.089,-0.349,0.379
1.223,0.096,-0.095,-0.343,0.368
1.233,0.060,-0.114,-0.342,0.365
1.243,0.024,-0.127,-0.337,0.361
1.253,-0.008,-0.140,-0.343,0.370
1.262,-0.042,-0.145,-0.356,0.386
1.273,-0.065,-0.142,-0.363,0.396
1.283,-0.044,-0.142,-0.380,0.408
1.293,-0.005,-0.141,-0.395,0.419
1.303,0.022,-0.133,-0.397,0.419
1.313,0.030,-0.122,-0.393,0.413
1.323,0.037,-0.118,-0.398,0.417
1.332,0.046,-0.132,-0.430,0.452
1.343,0.043,-0.165,-0.510,0.538
1.352,0.036,-0.190,-0.585,0.616
1.362,0.029,-0.201,-0.652,0.683
1.372,0.010,-0.200,-0.693,0.722
1.382,-0.020,-0.200,-0.725,0.752
1.392,-0.066,-0.211,-0.773,0.804
1.402,-0.147,-0.225,-0.866,0.907
1.412,-0.274,-0.263,-1.026,1.094
1.422,-0.374,-0.310,-1.169,1.266
1.432,-0.403,-0.351,-1.331,1.434
1.442,-0.417,-0.358,-1.536,1.632
