gFx,gFy,gFz
-0.043,-0.316,-1.02
-0.05,-0.328,-1.02
-0.09,-0.261,-0.996
-0.141,-0.245,-0.964
-0.181,-0.272,-0.967
-0.16,-0.268,-0.958
-0.115,-0.298,-0.94
-0.076,-0.331,-0.931
-0.02,-0.348,-0.909
0.003,-0.348,-0.869
0.018,-0.337,-0.833
0.028,-0.325,-0.81
0.023,-0.323,-0.788
0.016,-0.335,-0.777
0.014,-0.345,-0.784
0.022,-0.336,-0.804
0.01,-0.31,-0.843
-0.094,-0.312,-0.978
-0.142,-0.291,-1.129
-0.107,-0.21,-1.17
-0.075,-0.152,-1.147
-0.06,-0.135,-1.11
-0.063,-0.157,-1.054
-0.091,-0.203,-0.993
-0.107,-0.239,-0.915
-0.073,-0.236,-0.844
-0.021,-0.218,-0.855
-0.003,-0.217,-0.899
-0.039,-0.217,-0.911
-0.099,-0.223,-0.898
-0.149,-0.248,-0.856
-0.176,-0.277,-0.819
-0.179,-0.293,-0.782
-0.185,-0.301,-0.754
-0.177,-0.301,-0.74
-0.163,-0.306,-0.721
-0.142,-0.321,-0.687
-0.149,-0.285,-0.643
-0.17,-0.242,-0.631
-0.184,-0.22,-0.654
-0.234,-0.21,-0.752
-0.303,-0.196,-0.847
-0.259,-0.164,-0.809
-0.202,-0.171,-0.873
-0.143,-0.194,-0.895
-0.098,-0.212,-0.891
-0.096,-0.213,-0.9
-0.138,-0.21,-0.963
-0.193,-0.198,-1.009
-0.216,-0.173,-0.989
-0.201,-0.17,-0.976
-0.148,-0.212,-0.98
-0.081,-0.264,-0.978
-0.043,-0.293,-0.976
0.022,-0.355,-0.967
0.094,-0.409,-0.938
0.106,-0.335,-0.989
0.114,-0.251,-1.033
0.123,-0.155,-1.013
0.038,-0.069,-0.927
-0.231,-0.114,-0.837
-0.361,-0.196,-0.959
-0.399,-0.283,-0.961
-0.322,-0.303,-0.957
-0.234,-0.24,-0.905
-0.161,-0.177,-0.86
-0.123,-0.17,-0.914
-0.132,-0.15,-0.995
-0.192,-0.092,-1.054
-0.284,-0.078,-1.095
-0.341,-0.088,-1.155
-0.372,-0.087,-1.167
-0.371,-0.088,-1.146
-0.328,-0.084,-1.131
-0.267,-0.039,-1.157
-0.263,-0.014,-1.222
-0.304,-0.025,-1.279
-0.359,-0.042,-1.31
-0.397,-0.063,-1.297
-0.395,-0.067,-1.264
-0.323,-0.052,-1.258
-0.249,-0.036,-1.31
-0.22,-0.022,-1.387
-0.232,-0.012,-1.469
-0.249,0.012,-1.524
-0.197,0.024,-1.545
-0.13,0.025,-1.562
