time,gFx,gFy,gFz,gFTotal
0.000,0.147,-0.299,-0.906,0.965
0.010,0.172,-0.313,-0.876,0.946
0.020,0.169,-0.287,-0.860,0.922
0.030,0.167,-0.301,-0.893,0.957
0.040,0.172,-0.296,-0.941,1.001
0.050,0.223,-0.225,-0.971,1.021
0.060,0.247,-0.195,-1.054,1.100
0.070,0.290,-0.263,-1.069,1.139
0.080,0.315,-0.219,-1.065,1.132
0.090,0.304,-0.182,-1.032,1.091
0.100,0.300,-0.236,-0.938,1.013
0.110,0.362,-0.314,-0.798,0.930
0.120,0.355,-0.309,-0.707,0.849
0.129,0.337,-0.320,-0.686,0.829
0.140,0.355,-0.358,-0.731,0.888
0.150,0.409,-0.367,-0.807,0.977
0.159,0.443,-0.302,-0.850,1.005
0.170,0.408,-0.194,-0.888,0.996
0.179,0.333,-0.174,-0.902,0.977
0.190,0.270,-0.252,-0.883,0.957
0.199,0.246,-0.310,-0.823,0.914
0.210,0.217,-0.325,-0.783,0.875
0.219,0.216,-0.301,-0.742,0.829
0.229,0.110,-0.313,-0.763,0.832
0.239,0.079,-0.297,-0.731,0.793
0.249,0.117,-0.252,-0.742,0.793
0.259,0.126,-0.256,-0.752,0.804
0.269,0.125,-0.258,-0.841,0.888
0.279,0.175,-0.321,-0.993,1.058
0.289,0.242,-0.396,-1.130,1.222
0.299,0.286,-0.403,-1.222,1.318
0.309,0.254,-0.365,-1.287,1.361
0.319,0.179,-0.363,-1.311,1.372
0.329,0.119,-0.361,-1.283,1.338
0.339,0.049,-0.379,-1.235,1.292
0.349,0.014,-0.412,-1.155,1.226
0.359,0.039,-0.432,-1.065,1.150
0.369,0.055,-0.471,-0.990,1.098
0.379,0.067,-0.503,-0.926,1.056
0.389,0.095,-0.542,-0.896,1.052
0.399,0.143,-0.580,-0.896,1.077
0.409,0.191,-0.594,-0.900,1.095
0.419,0.195,-0.584,-0.849,1.048
0.429,0.128,-0.582,-0.928,1.103
0.439,0.046,-0.590,-1.018,1.177
0.449,-0.039,-0.512,-1.113,1.226
0.459,-0.106,-0.446,-1.206,1.291
0.469,-0.127,-0.424,-1.287,1.361
0.479,-0.098,-0.436,-1.337,1.410
0.489,-0.013,-0.462,-1.345,1.422
0.499,0.100,-0.476,-1.292,1.381
0.509,0.190,-0.493,-1.183,1.296
0.519,0.238,-0.493,-1.051,1.185
0.529,0.217,-0.470,-0.960,1.090
0.539,0.152,-0.420,-0.910,1.014
0.549,0.109,-0.332,-0.911,0.976
0.559,0.132,-0.278,-0.959,1.008
0.569,0.207,-0.212,-0.980,1.024
0.579,0.273,-0.080,-0.980,1.021
0.589,0.428,-0.171,-1.079,1.174
0.599,0.532,-0.228,-1.135,1.274
0.609,0.578,-0.141,-1.066,1.221
0.619,0.518,-0.054,-0.957,1.089
0.629,0.414,-0.001,-0.878,0.971
0.639,0.374,-0.023,-0.829,0.910
0.649,0.359,-0.005,-0.807,0.883
0.659,0.329,0.061,-0.797,0.865
0.669,0.318,0.101,-0.806,0.872
0.679,0.353,0.117,-0.832,0.912
0.689,0.387,0.144,-0.856,0.950
0.699,0.432,0.148,-0.846,0.961
0.709,0.500,0.164,-0.799,0.957
0.718,0.560,0.184,-0.714,0.926
0.729,0.582,0.163,-0.664,0.898
0.738,0.601,0.162,-0.637,0.890
0.748,0.581,0.172,-0.623,0.869
0.758,0.549,0.136,-0.632,0.849
0.769,0.565,0.108,-0.683,0.893
0.778,0.559,0.092,-0.745,0.936
0.788,0.497,0.056,-0.782,0.928
0.798,0.430,0.014,-0.777,0.888
0.808,0.402,-0.020,-0.749,0.850
0.818,0.389,-0.076,-0.757,0.854
0.828,0.361,-0.127,-0.821,0.906
0.838,0.341,-0.157,-0.916,0.990
0.848,0.332,-0.212,-1.008,1.082
0.858,0.330,-0.285,-1.081,1.166
0.868,0.302,-0.350,-1.095,1.188
0.878,0.299,-0.427,-1.047,1.170
0.888,0.305,-0.511,-1.005,1.168
0.898,0.246,-0.589,-1.004,1.190
0.908,0.157,-0.638,-1.041,1.231
0.918,0.070,-0.660,-1.131,1.311
0.928,-0.008,-0.676,-1.261,1.431
0.938,-0.056,-0.712,-1.374,1.548
0.948,-0.085,-0.769,-1.448,1.642
0.958,-0.124,-0.833,-1.482,1.704
0.968,-0.179,-0.886,-1.482,1.736
0.978,-0.222,-0.921,-1.457,1.738
0.988,-0.239,-0.958,-1.409,1.721
0.998,-0.233,-0.983,-1.330,1.670
1.008,-0.191,-1.002,-1.241,1.606
1.018,-0.148,-1.014,-1.186,1.567
1.028,-0.120,-1.001,-1.164,1.540
1.038,-0.098,-0.968,-1.168,1.520
1.048,-0.084,-0.917,-1.178,1.495
1.058,-0.070,-0.864,-1.167,1.454
1.068,-0.033,-0.839,-1.149,1.423
1.078,0.033,-0.832,-1.111,1.389
1.088,0.088,-0.817,-1.054,1.336
1.098,0.112,-0.798,-1.002,1.286
1.108,0.118,-0.766,-0.968,1.240
1.118,0.099,-0.729,-0.974,1.221
1.128,0.085,-0.687,-0.987,1.206
1.138,0.083,-0.635,-0.989,1.178
1.148,0.109,-0.602,-1.001,1.173
1.158,0.166,-0.574,-1.025,1.187
1.168,0.230,-0.559,-1.066,1.225
1.178,0.268,-0.544,-1.120,1.274
1.188,0.291,-0.504,-1.143,1.283
1.198,0.361,-0.459,-1.150,1.290
1.208,0.405,-0.431,-1.154,1.297
1.218,0.399,-0.387,-1.062,1.199
1.228,0.413,-0.380,-0.911,1.070
1.238,0.455,-0.407,-0.776,0.987
1.247,0.502,-0.415,-0.663,0.929
1.258,0.492,-0.401,-0.602,0.875
1.268,0.422,-0.382,-0.603,0.829
1.277,0.343,-0.340,-0.640,0.802
1.287,0.289,-0.302,-0.708,0.823
1.297,0.266,-0.260,-0.796,0.878
1.308,0.261,-0.216,-0.847,0.912
1.318,0.286,-0.191,-0.829,0.897
1.328,0.338,-0.194,-0.794,0.885
1.338,0.379,-0.199,-0.752,0.865
1.348,0.390,-0.200,-0.678,0.808
1.357,0.404,-0.205,-0.621,0.769
1.367,0.414,-0.216,-0.607,0.765
1.377,0.400,-0.197,-0.587,0.737
1.387,0.392,-0.170,-0.588,0.726
1.397,0.402,-0.151,-0.622,0.756
1.407,0.433,-0.136,-0.669,0.808
1.417,0.494,-0.117,-0.732,0.890
1.427,0.542,-0.109,-0.792,0.965
1.437,0.596,-0.111,-0.807,1.010
1.447,0.680,-0.111,-0.788,1.046
1.457,0.729,-0.111,-0.731,1.038
1.467,0.730,-0.110,-0.637,0.975
1.477,0.687,-0.094,-0.527,0.870
1.487,0.567,-0.048,-0.433,0.715
1.497,0.454,-0.056,-0.428,0.626
1.507,0.424,-0.067,-0.535,0.686
1.517,0.387,-0.068,-0.654,0.763
1.527,0.379,-0.094,-0.733,0.830
1.537,0.414,-0.134,-0.770,0.885
1.547,0.438,-0.170,-0.757,0.891
1.557,0.438,-0.216,-0.716,0.867
1.567,0.415,-0.268,-0.666,0.829
1.577,0.403,-0.303,-0.635,0.811
1.587,0.387,-0.331,-0.652,0.827
1.597,0.385,-0.361,-0.756,0.922
1.607,0.366,-0.380,-0.907,1.049
1.617,0.283,-0.410,-1.015,1.131
1.627,0.236,-0.447,-1.082,1.194
1.637,0.237,-0.494,-1.164,1.287
1.647,0.202,-0.539,-1.248,1.375
1.657,0.123,-0.578,-1.285,1.415
1.667,0.066,-0.613,-1.307,1.445
1.677,0.018,-0.637,-1.352,1.494
1.687,-0.024,-0.652,-1.408,1.552
1.697,-0.078,-0.669,-1.456,1.604
1.707,-0.134,-0.688,-1.473,1.631
1.717,-0.166,-0.713,-1.474,1.646
1.727,-0.203,-0.735,-1.441,1.630
1.737,-0.237,-0.751,-1.391,1.598
1.747,-0.265,-0.759,-1.350,1.571
1.757,-0.269,-0.768,-1.316,1.547
1.767,-0.233,-0.775,-1.283,1.517
1.777,-0.212,-0.771,-1.268,1.499
1.787,-0.300,-0.764,-1.237,1.484
1.797,-0.393,-0.755,-1.206,1.476
1.807,-0.435,-0.736,-1.191,1.466
1.817,-0.434,-0.719,-1.178,1.447
1.827,-0.408,-0.702,-1.157,1.413
1.837,-0.371,-0.686,-1.135,1.377
1.846,-0.306,-0.679,-1.118,1.343
1.857,-0.236,-0.682,-1.107,1.322
1.866,-0.187,-0.687,-1.102,1.312
1.877,-0.172,-0.681,-1.120,1.322
1.886,-0.163,-0.670,-1.160,1.350
1.897,-0.143,-0.647,-1.183,1.356
1.907,-0.099,-0.625,-1.196,1.353
1.916,-0.056,-0.621,-1.229,1.378
1.926,-0.027,-0.611,-1.268,1.408
1.936,-0.009,-0.603,-1.309,1.441
1.946,0.002,-0.606,-1.332,1.464
1.956,0.018,-0.606,-1.319,1.452
1.966,0.065,-0.607,-1.303,1.439
1.976,0.140,-0.612,-1.289,1.433
1.986,0.222,-0.618,-1.261,1.422
1.996,0.309,-0.617,-1.233,1.413
2.006,0.370,-0.608,-1.226,1.417
2.016,0.380,-0.599,-1.232,1.422
2.026,0.352,-0.582,-1.209,1.387
2.036,0.329,-0.561,-1.137,1.310
2.046,0.322,-0.526,-1.051,1.218
2.056,0.325,-0.494,-0.986,1.150
2.066,0.342,-0.450,-0.949,1.104
2.076,0.344,-0.376,-0.916,1.048
2.086,0.315,-0.313,-0.894,0.998
