gFx,gFy,gFz
-0.074,-0.183,-1.005
-0.092,-0.177,-1.004
-0.097,-0.175,-0.98
-0.085,-0.18,-0.943
-0.083,-0.182,-0.92
-0.073,-0.18,-0.922
-0.065,-0.177,-0.955
-0.049,-0.177,-1.004
-0.039,-0.172,-1.039
-0.032,-0.17,-1.045
-0.051,-0.165,-1.033
-0.086,-0.165,-1.004
-0.12,-0.174,-0.959
-0.147,-0.17,-0.923
-0.158,-0.155,-0.926
-0.155,-0.139,-0.969
-0.144,-0.128,-1.007
-0.114,-0.126,-1.032
-0.089,-0.131,-1.043
-0.101,-0.138,-1.038
-0.123,-0.147,-1.003
-0.143,-0.16,-0.952
-0.159,-0.166,-0.917
-0.154,-0.166,-0.902
-0.104,-0.16,-0.902
-0.065,-0.161,-0.923
-0.032,-0.163,-0.946
-0.018,-0.149,-0.958
-0.022,-0.138,-0.965
-0.04,-0.14,-0.981
-0.057,-0.143,-1.004
-0.071,-0.15,-1.032
-0.08,-0.154,-1.047
-0.077,-0.157,-1.041
-0.046,-0.162,-1.007
-0.035,-0.167,-0.977
-0.044,-0.166,-0.967
-0.047,-0.166,-0.968
-0.024,-0.17,-0.966
-0.002,-0.181,-0.963
-0.006,-0.191,-0.955
-0.044,-0.191,-0.94
-0.083,-0.201,-0.938
-0.086,-0.22,-0.928
-0.105,-0.272,-0.861
-0.171,-0.283,-0.845
-0.205,-0.246,-0.92
-0.239,-0.246,-1.008
-0.238,-0.251,-1.076
-0.19,-0.248,-1.114
-0.121,-0.23,-1.097
-0.058,-0.202,-1.055
-0.037,-0.185,-1.017
-0.063,-0.177,-1.008
-0.104,-0.17,-1.015
-0.117,-0.164,-1.015
-0.124,-0.15,-1.031
-0.157,-0.135,-1.017
-0.132,-0.125,-0.999
-0.086,-0.126,-0.981
-0.141,-0.115,-0.979
-0.05,-0.138,-0.983
0.033,-0.159,-0.97
-0.018,-0.138,-0.973
-0.048,-0.14,-1.011
-0.066,-0.15,-1.023
-0.086,-0.17,-1.017
-0.101,-0.184,-1.014
-0.078,-0.145,-0.985
-0.031,-0.077,-0.959
-0.022,-0.026,-0.975
-0.001,-0.002,-1.012
-0.019,-0.012,-0.999
-0.147,-0.035,-0.934
-0.273,-0.07,-0.893
-0.371,-0.107,-0.962
-0.359,-0.124,-1.03
-0.263,-0.136,-1.059
-0.104,-0.14,-1.047
0.05,-0.106,-1.026
0.061,-0.009,-1.024
-0.049,-0.012,-0.999
0.014,-0.048,-1.007
0.093,-0.049,-1.064
0.177,-0.024,-1.02
0.281,-0.052,-1
0.289,-0.076,-0.994
0.309,-0.103,-1.018
0.305,-0.15,-1.021
0.394,-0.214,-1.069
0.31,-0.243,-1.024
0.25,-0.203,-1.002
0.03,-0.074,-0.917
-0.085,0.036,-0.938
-0.039,0.016,-0.928
-0.016,-0.045,-0.87
0.115,-0.067,-0.917
0.114,-0.111,-0.885
0.175,-0.07,-0.895
0.29,-0.053,-0.972
0.253,-0.19,-0.991
0.173,-0.276,-1.041
0.156,-0.321,-1.135
0.104,-0.302,-1.121
0.143,-0.207,-1.072
-0.009,-0.248,-0.982
-0.164,-0.244,-1.027
-0.182,-0.196,-1.054
-0.181,-0.139,-1.036
-0.187,-0.214,-0.936
-0.331,-0.346,-0.704
-0.515,-0.28,-0.909
-0.498,-0.166,-0.889
-0.393,-0.145,-0.902
-0.363,-0.121,-0.915
-0.329,-0.114,-0.891
-0.232,-0.129,-0.834
-0.156,-0.085,-0.792
-0.109,-0.064,-0.791
-0.047,-0.036,-0.794
-0.008,-0.002,-0.852
0.087,0.01,-0.911
0.161,0.018,-0.923
0.142,0.02,-0.931
0.114,0.022,-0.899
0.078,0.003,-0.838
0.073,0.002,-0.794
0.062,0.027,-0.791
0.008,0.065,-0.833
-0.034,0.069,-0.883
-0.04,0.054,-0.88
-0.048,0.049,-0.911
-0.042,0.045,-0.925
-0.028,0.041,-0.917
-0.06,0.034,-0.927
-0.105,0,-0.919
-0.129,-0.012,-0.938
-0.126,-0.019,-0.961
-0.115,-0.042,-0.953
-0.112,-0.086,-0.943
-0.14,-0.113,-0.946
-0.167,-0.128,-0.959
-0.164,-0.156,-0.98
-0.148,-0.168,-0.998
-0.135,-0.163,-1.036
-0.121,-0.185,-1.074
-0.125,-0.229,-1.122
-0.133,-0.258,-1.182
-0.135,-0.274,-1.175
-0.129,-0.277,-1.136
-0.124,-0.271,-1.1
-0.121,-0.276,-1.065
-0.123,-0.293,-1.03
-0.13,-0.311,-1.016
-0.138,-0.324,-0.998
-0.153,-0.334,-0.99
-0.182,-0.345,-1.018
-0.184,-0.354,-1.042
-0.181,-0.35,-1.048
-0.184,-0.327,-1.09
-0.161,-0.306,-1.12
-0.151,-0.308,-1.104
-0.151,-0.334,-1.077
-0.149,-0.349,-1.063
-0.145,-0.344,-1.073
-0.15,-0.338,-1.087
-0.147,-0.333,-1.093
-0.136,-0.336,-1.107
-0.135,-0.328,-1.137
-0.159,-0.321,-1.135
-0.161,-0.346,-1.095
-0.151,-0.346,-1.068
-0.158,-0.326,-1.091
-0.157,-0.323,-1.107
-0.151,-0.317,-1.114
-0.142,-0.314,-1.116
-0.136,-0.309,-1.123
-0.138,-0.295,-1.141
-0.151,-0.269,-1.163
-0.18,-0.232,-1.196
-0.219,-0.202,-1.235
-0.226,-0.203,-1.214
-0.221,-0.21,-1.181
-0.228,-0.216,-1.159
-0.218,-0.221,-1.127
-0.208,-0.221,-1.101
