time,gFx,gFy,gFz,gFTotal
0.000,-0.128,-0.035,-1.074,1.082
0.010,-0.098,-0.063,-1.124,1.130
0.020,-0.048,-0.032,-1.258,1.260
0.030,0.020,0.024,-1.326,1.326
0.040,0.031,0.061,-1.321,1.322
0.050,-0.000,0.099,-1.263,1.267
0.060,-0.019,0.124,-1.217,1.223
0.070,-0.007,0.130,-1.210,1.217
0.080,-0.001,0.103,-1.183,1.187
0.090,0.004,0.062,-1.091,1.093
0.099,0.022,0.026,-0.952,0.953
0.110,0.070,0.007,-0.801,0.804
0.120,0.113,-0.031,-0.736,0.746
0.130,0.104,-0.063,-0.752,0.762
0.140,0.067,-0.080,-0.794,0.801
0.149,0.008,-0.103,-0.857,0.863
0.159,-0.005,-0.164,-0.860,0.875
0.169,0.020,-0.241,-0.781,0.818
0.180,0.007,-0.243,-0.680,0.722
0.189,0.056,-0.302,-0.706,0.770
0.199,0.178,-0.695,-0.826,1.094
0.209,-0.094,-0.077,-0.587,0.600
0.219,-0.165,-0.147,-0.685,0.720
0.229,-0.275,-0.240,-0.742,0.827
0.239,-0.363,-0.272,-0.738,0.866
0.249,-0.469,-0.516,-0.898,1.136
0.259,-0.442,-0.466,-0.952,1.149
0.269,-0.363,-0.215,-0.630,0.759
0.279,-0.326,-0.187,-0.655,0.755
0.289,-0.290,-0.148,-0.716,0.787
0.299,-0.237,-0.111,-0.680,0.729
0.309,-0.224,-0.091,-0.721,0.761
0.319,-0.267,-0.078,-0.833,0.878
0.329,-0.286,-0.096,-0.875,0.926
0.339,-0.272,-0.128,-0.832,0.885
0.349,-0.219,-0.182,-0.879,0.924
0.359,-0.175,-0.239,-0.972,1.016
0.369,-0.242,-0.270,-0.979,1.044
0.379,-0.294,-0.221,-0.960,1.028
0.389,-0.283,-0.124,-0.988,1.035
0.399,-0.282,-0.064,-1.010,1.051
0.409,-0.268,-0.039,-0.991,1.028
0.419,-0.265,-0.060,-0.989,1.025
0.429,-0.358,-0.088,-1.005,1.071
0.439,-0.526,-0.106,-1.030,1.161
0.449,-0.564,-0.089,-0.972,1.128
0.459,-0.424,-0.049,-0.923,1.017
0.469,-0.345,-0.028,-0.913,0.976
0.479,-0.344,-0.012,-0.960,1.019
0.489,-0.354,0.021,-1.084,1.141
0.499,-0.416,0.017,-1.241,1.309
0.509,-0.494,-0.009,-1.352,1.439
0.519,-0.545,-0.001,-1.366,1.471
0.529,-0.602,0.051,-1.242,1.381
0.539,-0.600,0.080,-0.827,1.025
0.549,-0.634,0.008,-0.380,0.740
0.559,-0.592,-0.069,-0.454,0.750
0.569,-0.565,0.095,-0.824,1.004
0.579,-0.604,0.185,-1.064,1.237
0.589,-0.665,0.117,-1.087,1.280
0.599,-0.606,0.103,-0.943,1.126
0.609,-0.471,0.052,-0.821,0.948
0.619,-0.437,0.066,-0.788,0.904
0.629,-0.453,0.029,-0.896,1.004
0.639,-0.460,0.064,-0.867,0.983
0.649,-0.397,0.110,-0.889,0.980
0.659,-0.475,-0.000,-0.902,1.019
0.668,-0.495,0.083,-0.937,1.063
0.679,-0.573,0.038,-0.925,1.089
0.689,-0.613,0.163,-0.849,1.060
0.699,-0.528,0.095,-0.836,0.993
0.709,-0.622,0.140,-0.856,1.068
0.719,-0.646,0.082,-0.903,1.114
0.729,-0.707,0.167,-0.929,1.179
0.738,-0.695,0.125,-0.922,1.161
0.749,-0.779,0.135,-0.908,1.204
0.758,-0.858,0.083,-0.893,1.241
0.768,-0.724,0.178,-0.786,1.084
0.778,-0.447,0.317,-0.632,0.836
0.789,-0.723,0.137,-0.719,1.029
0.798,-0.793,0.057,-0.761,1.101
0.808,-0.717,0.192,-0.724,1.037
0.818,-0.746,0.112,-0.664,1.005
0.828,-0.660,0.119,-0.623,0.915
0.838,-0.561,0.094,-0.595,0.823
0.848,-0.450,0.027,-0.553,0.714
0.858,-0.397,0.015,-0.578,0.701
0.868,-0.375,0.038,-0.650,0.751
0.878,-0.419,0.031,-0.769,0.876
0.888,-0.466,0.008,-0.930,1.040
0.898,-0.457,0.051,-1.030,1.128
0.908,-0.399,0.091,-1.006,1.086
0.918,-0.299,0.060,-0.872,0.923
0.928,-0.185,0.040,-0.750,0.774
0.938,-0.151,0.087,-0.697,0.719
0.948,-0.238,0.116,-0.764,0.809
0.958,-0.272,0.199,-0.896,0.957
0.968,-0.381,0.121,-0.801,0.895
0.978,-0.355,0.145,-0.722,0.817
0.988,-0.252,0.191,-0.752,0.816
0.998,-0.202,0.138,-0.759,0.797
1.008,-0.177,0.185,-0.736,0.779
1.018,-0.238,0.193,-0.755,0.815
1.028,-0.294,0.228,-0.827,0.907
1.038,-0.432,0.258,-0.947,1.072
1.048,-0.584,0.308,-0.991,1.191
1.058,-0.693,0.323,-0.992,1.252
1.068,-0.563,0.350,-0.968,1.174
1.078,-0.432,0.252,-0.990,1.109
1.088,-0.377,0.264,-0.907,1.017
1.098,-0.354,0.336,-0.811,0.946
1.108,-0.294,0.356,-0.634,0.784
1.118,-0.219,0.318,-0.545,0.668
1.128,-0.142,0.301,-0.585,0.673
1.138,-0.148,0.251,-0.738,0.793
1.148,-0.120,0.283,-0.838,0.892
1.158,-0.067,0.244,-0.900,0.935
1.168,-0.091,0.235,-0.943,0.976
1.178,-0.022,0.153,-0.973,0.985
1.188,-0.015,0.140,-1.160,1.168
1.198,-0.297,0.102,-1.349,1.385
1.208,-0.239,0.098,-1.195,1.223
1.218,-0.303,0.050,-1.108,1.150
1.228,-0.249,0.017,-1.084,1.113
1.238,-0.030,-0.047,-0.986,0.987
1.248,-0.042,-0.038,-0.974,0.975
1.257,-0.059,-0.005,-0.921,0.923
1.268,-0.028,-0.037,-0.859,0.860
1.278,0.084,-0.145,-0.824,0.840
1.288,0.096,-0.193,-0.916,0.941
1.297,-0.039,-0.147,-1.052,1.063
1.307,-0.026,-0.164,-1.112,1.124
1.318,-0.008,-0.135,-1.099,1.108
1.328,-0.040,-0.130,-1.048,1.057
1.338,0.040,-0.179,-1.038,1.054
1.347,0.051,-0.180,-1.115,1.131
1.357,0.025,-0.206,-1.231,1.249
1.368,0.004,-0.236,-1.275,1.296
1.377,-0.008,-0.275,-1.285,1.314
1.388,-0.021,-0.313,-1.257,1.295
1.397,-0.039,-0.314,-1.286,1.324
1.407,-0.180,-0.243,-1.301,1.335
1.417,-0.264,-0.252,-1.134,1.191
1.427,-0.208,-0.263,-0.987,1.043
1.437,-0.202,-0.238,-0.982,1.031
1.447,-0.350,-0.313,-0.955,1.064
1.457,-0.578,-0.436,-0.920,1.171
1.467,-0.824,-0.516,-0.886,1.315
1.477,-0.984,-0.561,-0.830,1.404
1.487,-1.048,-0.606,-0.714,1.406
1.497,-1.022,-0.641,-0.652,1.371
1.507,-0.953,-0.614,-0.791,1.383
1.517,-0.908,-0.586,-0.927,1.424
1.527,-0.839,-0.593,-1.008,1.439
1.537,-0.771,-0.581,-1.055,1.430
1.547,-0.702,-0.559,-1.071,1.397
1.557,-0.619,-0.546,-1.072,1.353
1.567,-0.529,-0.544,-1.082,1.322
1.577,-0.455,-0.551,-1.102,1.313
1.587,-0.390,-0.556,-1.161,1.345
1.597,-0.338,-0.532,-1.249,1.399
1.607,-0.302,-0.510,-1.290,1.420
1.617,-0.256,-0.492,-1.277,1.393
1.627,-0.180,-0.470,-1.231,1.330
1.637,-0.126,-0.498,-1.145,1.255
1.647,-0.103,-0.546,-1.034,1.173
1.657,-0.165,-0.557,-1.054,1.203
1.667,-0.229,-0.516,-1.194,1.321
1.677,-0.244,-0.466,-1.273,1.377
1.687,-0.241,-0.409,-1.304,1.388
1.697,-0.233,-0.359,-1.311,1.379
1.707,-0.222,-0.330,-1.276,1.337
1.717,-0.211,-0.314,-1.189,1.248
1.727,-0.206,-0.301,-1.076,1.136
1.737,-0.222,-0.263,-1.055,1.110
1.747,-0.254,-0.238,-1.081,1.135
1.757,-0.287,-0.244,-1.088,1.151
1.767,-0.313,-0.235,-1.101,1.169
1.777,-0.347,-0.196,-1.137,1.205
1.787,-0.429,-0.090,-1.266,1.340
1.797,-0.354,-0.113,-1.184,1.241
1.807,-0.342,-0.197,-1.006,1.081
1.817,-0.268,-0.159,-0.937,0.987
1.827,-0.262,-0.050,-0.942,0.979
1.836,-0.255,0.065,-0.943,0.979
1.847,-0.262,0.059,-0.911,0.949
1.856,-0.295,-0.024,-0.796,0.849
1.867,-0.302,0.012,-0.815,0.869
1.876,-0.302,0.052,-0.851,0.905
1.886,-0.279,0.062,-0.840,0.887
1.896,-0.253,0.068,-0.840,0.880
1.906,-0.218,0.061,-0.794,0.825
1.916,-0.192,0.073,-0.723,0.752
1.926,-0.165,0.105,-0.688,0.715
1.936,-0.164,0.128,-0.709,0.739
1.946,-0.193,0.145,-0.720,0.760
1.956,-0.193,0.136,-0.715,0.753
1.966,-0.176,0.132,-0.742,0.774
1.976,-0.154,0.141,-0.769,0.797
1.986,-0.138,0.147,-0.770,0.796
1.996,-0.116,0.147,-0.750,0.773
2.006,-0.097,0.150,-0.733,0.754
2.016,-0.086,0.160,-0.730,0.752
2.026,-0.081,0.164,-0.752,0.774
2.036,-0.092,0.157,-0.799,0.820
2.046,-0.099,0.128,-0.805,0.821
2.056,-0.078,0.102,-0.790,0.800
2.066,-0.075,0.113,-0.829,0.840
2.076,-0.056,0.130,-0.844,0.856
2.086,-0.034,0.161,-0.823,0.839
2.096,-0.037,0.173,-0.821,0.840
2.106,-0.048,0.166,-0.831,0.849
2.116,-0.058,0.134,-0.833,0.846
2.126,-0.038,0.083,-0.855,0.860
2.136,-0.005,0.045,-0.894,0.895
2.146,0.018,0.027,-0.948,0.948
2.156,0.026,0.015,-1.006,1.007
2.166,0.032,0.015,-1.042,1.043
2.176,0.009,0.020,-1.066,1.066
2.186,-0.019,-0.001,-1.064,1.064
2.196,-0.035,-0.057,-1.055,1.057
2.206,-0.044,-0.111,-1.055,1.062
2.216,-0.041,-0.146,-1.074,1.084
2.226,-0.013,-0.177,-1.103,1.117
2.236,0.026,-0.181,-1.135,1.150
2.246,0.035,-0.192,-1.172,1.188
2.256,0.048,-0.227,-1.164,1.187
2.266,0.044,-0.263,-1.139,1.170
2.276,0.035,-0.290,-1.114,1.152
2.286,0.014,-0.315,-1.071,1.117
2.296,-0.041,-0.330,-1.023,1.075
2.306,-0.092,-0.354,-0.995,1.060
2.316,-0.136,-0.374,-0.993,1.070
2.326,-0.176,-0.395,-1.024,1.112
2.336,-0.194,-0.413,-1.053,1.148
2.346,-0.178,-0.403,-1.071,1.158
2.356,-0.134,-0.377,-1.092,1.163
2.366,-0.111,-0.384,-1.118,1.187
2.376,-0.107,-0.424,-1.108,1.191
2.385,-0.114,-0.453,-1.078,1.175
2.396,-0.129,-0.484,-1.053,1.166
2.406,-0.145,-0.521,-1.040,1.172
2.416,-0.163,-0.561,-1.060,1.210
2.426,-0.187,-0.598,-1.100,1.265
2.435,-0.203,-0.631,-1.151,1.328
2.445,-0.207,-0.658,-1.195,1.380
2.455,-0.192,-0.670,-1.184,1.374
2.465,-0.179,-0.691,-1.137,1.342
2.475,-0.184,-0.704,-1.064,1.289
2.485,-0.189,-0.708,-0.975,1.220
2.495,-0.189,-0.731,-0.985,1.242
2.505,-0.199,-0.741,-1.015,1.272
2.515,-0.227,-0.747,-1.008,1.275
2.525,-0.255,-0.740,-0.998,1.268
2.535,-0.290,-0.716,-0.979,1.247
2.545,-0.345,-0.692,-0.952,1.226
2.555,-0.397,-0.673,-0.934,1.217
2.565,-0.416,-0.663,-0.946,1.228
2.575,-0.405,-0.640,-0.976,1.235
2.585,-0.367,-0.606,-0.997,1.223
2.595,-0.322,-0.575,-1.008,1.205
2.605,-0.297,-0.545,-1.018,1.192
2.615,-0.284,-0.523,-1.029,1.188
2.625,-0.266,-0.517,-1.029,1.182
2.635,-0.244,-0.516,-1.037,1.184
2.645,-0.207,-0.492,-1.067,1.193
2.655,-0.172,-0.452,-1.105,1.206
2.665,-0.133,-0.414,-1.132,1.213
2.675,-0.099,-0.377,-1.151,1.215
2.685,-0.069,-0.350,-1.170,1.223
2.695,-0.058,-0.335,-1.196,1.244
2.705,-0.079,-0.328,-1.223,1.268
2.715,-0.095,-0.318,-1.248,1.291
2.725,-0.097,-0.295,-1.233,1.271
2.735,-0.083,-0.281,-1.207,1.242
2.745,-0.071,-0.266,-1.178,1.210
2.755,-0.061,-0.252,-1.164,1.192
2.765,-0.040,-0.236,-1.164,1.188
2.775,-0.026,-0.217,-1.153,1.173
2.785,-0.035,-0.191,-1.139,1.155
2.795,-0.067,-0.176,-1.151,1.167
2.805,-0.091,-0.176,-1.159,1.176
2.815,-0.099,-0.165,-1.160,1.176
2.825,-0.101,-0.147,-1.151,1.164
2.835,-0.097,-0.121,-1.138,1.148
2.845,-0.126,-0.071,-1.117,1.126
2.855,-0.105,-0.023,-1.096,1.101
2.865,-0.160,-0.123,-1.057,1.076
2.875,-0.174,-0.105,-1.077,1.096
2.885,-0.201,-0.081,-1.118,1.139
2.895,-0.196,-0.055,-1.099,1.118
2.905,-0.197,-0.023,-1.098,1.116
2.915,-0.203,0.018,-1.090,1.109
2.925,-0.194,0.025,-1.006,1.025
2.935,-0.183,0.024,-0.925,0.943
2.945,-0.183,0.048,-0.886,0.906
2.954,-0.177,0.077,-0.849,0.870
2.965,-0.180,0.095,-0.807,0.832
2.975,-0.186,0.103,-0.786,0.814
2.985,-0.181,0.101,-0.798,0.825
2.995,-0.171,0.087,-0.825,0.847
3.005,-0.149,0.057,-0.855,0.870
3.014,-0.113,0.040,-0.871,0.879
3.025,-0.090,0.057,-0.873,0.879
3.035,-0.079,0.084,-0.863,0.870
3.044,-0.070,0.106,-0.828,0.838
3.054,-0.059,0.135,-0.788,0.802
3.064,-0.044,0.164,-0.747,0.766
3.074,-0.046,0.167,-0.730,0.750
3.084,-0.062,0.144,-0.720,0.736
3.094,-0.082,0.130,-0.709,0.725
3.104,-0.098,0.138,-0.716,0.735
3.114,-0.105,0.153,-0.731,0.754
3.124,-0.111,0.160,-0.731,0.757
3.134,-0.105,0.154,-0.726,0.749
3.144,-0.101,0.145,-0.729,0.750
3.154,-0.102,0.125,-0.752,0.769
3.164,-0.089,0.118,-0.776,0.790
3.174,-0.082,0.105,-0.815,0.826
3.184,-0.073,0.107,-0.827,0.837
3.194,-0.071,0.126,-0.825,0.837
3.204,-0.090,0.137,-0.809,0.825
3.214,-0.131,0.147,-0.795,0.819
3.224,-0.175,0.135,-0.796,0.826
3.234,-0.188,0.110,-0.776,0.806
3.244,-0.186,0.096,-0.764,0.792
3.254,-0.161,0.058,-0.802,0.820
3.264,-0.091,0.008,-0.871,0.876
3.274,-0.002,-0.024,-0.942,0.942
3.284,0.078,-0.049,-1.012,1.016
3.294,0.168,-0.068,-1.067,1.082
3.304,0.237,-0.068,-1.121,1.148
3.314,0.253,-0.078,-1.164,1.194
3.324,0.229,-0.124,-1.183,1.211
3.334,0.183,-0.162,-1.178,1.203
3.344,0.149,-0.164,-1.149,1.170
3.354,0.143,-0.172,-1.142,1.164
3.364,0.134,-0.204,-1.160,1.185
3.374,0.122,-0.229,-1.174,1.202
3.384,0.118,-0.234,-1.200,1.228
3.394,0.118,-0.252,-1.218,1.250
3.404,0.128,-0.278,-1.189,1.228
3.414,0.110,-0.282,-1.155,1.194
3.424,0.097,-0.266,-1.116,1.152
3.434,0.092,-0.265,-1.058,1.095
3.444,0.044,-0.307,-1.029,1.074
3.454,-0.001,-0.355,-1.003,1.064
3.464,-0.034,-0.379,-0.995,1.065
3.474,-0.052,-0.370,-1.006,1.073
3.484,-0.072,-0.357,-0.982,1.047
3.494,-0.111,-0.349,-0.944,1.013
3.504,-0.166,-0.364,-0.945,1.026
3.514,-0.206,-0.399,-0.950,1.051
3.524,-0.232,-0.433,-0.932,1.053
3.534,-0.243,-0.472,-0.930,1.071
3.544,-0.231,-0.496,-0.946,1.092
3.553,-0.209,-0.519,-0.956,1.108
3.564,-0.206,-0.560,-0.993,1.159
3.574,-0.200,-0.595,-1.037,1.212
3.584,-0.181,-0.612,-1.070,1.246
3.593,-0.187,-0.631,-1.105,1.286
3.603,-0.209,-0.641,-1.136,1.321
3.614,-0.215,-0.645,-1.149,1.335
3.623,-0.198,-0.652,-1.141,1.329
3.633,-0.187,-0.646,-1.118,1.305
3.643,-0.171,-0.614,-1.111,1.281
3.653,-0.145,-0.580,-1.132,1.280
3.663,-0.138,-0.561,-1.154,1.291
3.673,-0.147,-0.553,-1.165,1.298
3.683,-0.154,-0.532,-1.162,1.287
3.693,-0.163,-0.508,-1.163,1.280
3.703,-0.165,-0.489,-1.168,1.277
3.713,-0.159,-0.471,-1.150,1.253
3.723,-0.146,-0.461,-1.133,1.232
3.733,-0.113,-0.444,-1.125,1.215
3.743,-0.079,-0.411,-1.116,1.192
3.753,-0.048,-0.384,-1.110,1.176
